sentiment,closed_pnl_sum,closed_pnl_mean,closed_pnl_median,closed_pnl_std,size_usd_sum,size_usd_mean,size_usd_median,execution_price_mean,trades,profitable_trades,win_rate
fear,1794485.50962,101.21752550172035,0.0,1165.5496666222773,90963998.64,5130.80256303232,617.92,6468.849184713035,17729,6982,0.39381803824242767
greed,1744585.507757,98.34191137299887,0.0,1495.3788681170815,81767607.33,4609.222510146561,565.485,8809.417017436914,17740,8370,0.471815107102593
